Month,Day,Fajr Athan,Fajr Iqama,Sunrise,Dhuhr Athan,Dhuhr Iqama,Asr Athan,Asr Iqama,Maghrib Athan,Maghrib Iqama,Isha Athan,Isha Iqama,,Prayer,Iqama Offset (minutes),,Jumuah,Starts,Ends
1,1,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,Fajr,5,,1st Jumuah,1:00 PM,1:30 PM
1,2,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,Dhuhr,5,,2nd Jumuah,2:00 PM,2:30 PM
1,3,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,Asr,,,3rd Jumuah,3:00 PM,3:30 PM
1,21,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,22,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,23,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,24,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,25,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,26,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,27,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,28,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,29,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,30,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
1,31,4:25 AM,4:30 AM,6:45 AM,12:15 PM,12:20 PM,3:45 PM,3:50 PM,6:20 PM,6:25 PM,7:45 PM,7:50 PM,,,,,,,,
